AppUsageEventEntity-packageName,category,abstract
cheehoon.ha.particulateforecaster,Weather,Lifestyle
com.airvisual,Weather,Lifestyle
com.chanel.weather.forecast.accu,Weather,Lifestyle
com.skplanet.weatherpong.mobile,Weather,Lifestyle
com.clip.getapp,Video Players/Editors,Media/Entertainment
com.delphicoder.flud,Video Players/Editors,Media/Entertainment
com.google.android.videos,Video Players/Editors,Media/Entertainment
com.google.android.youtube,Video Players/Editors,Media/Entertainment
com.mxtech.videoplayer.ad,Video Players/Editors,Media/Entertainment
com.mxtech.videoplayer.pro,Video Players/Editors,Media/Entertainment
com.nhn.android.naverplayer,Video Players/Editors,Media/Entertainment
com.qiyi.video.pad,Video Players/Editors,Media/Entertainment
com.quvideo.xiaoying,Video Players/Editors,Media/Entertainment
com.samsung.android.video,Video Players/Editors,Media/Entertainment
com.samsung.app.highlightplayer,Video Players/Editors,Media/Entertainment
com.skb.btvmobile,Video Players/Editors,Media/Entertainment
org.leetzone.android.yatsewidgetfree,Video Players/Editors,Media/Entertainment
video.player.videoplayer,Video Players/Editors,Media/Entertainment
Kal.FlightInfo,Travel/Local,Travel
com.agoda.mobile.consumer,Travel/Local,Travel
com.airbnb.android,Travel/Local,Travel
com.aminlogic.NavigationCompass,Travel/Local,Travel
com.bientus.cirque.android,Travel/Local,Travel
com.cultsotry.yanolja.nativeapp,Travel/Local,Travel
com.delta.mobile.android,Travel/Local,Travel
com.fridaynoons.playwings,Travel/Local,Travel
com.google.android.apps.maps,Travel/Local,Travel
com.habb.thankq,Travel/Local,Travel
com.hcom.android,Travel/Local,Travel
com.hotelscombined.mobile,Travel/Local,Travel
com.interpark.tour.mobile.main,Travel/Local,Travel
com.kayak.android,Travel/Local,Travel
com.korail.talk,Travel/Local,Travel
com.kscc.xzz.mbl,Travel/Local,Travel
com.mo2o.alsa,Travel/Local,Travel
com.mrt.ducati,Travel/Local,Travel
com.nhn.android.nmap,Travel/Local,Travel
com.tourlive,Travel/Local,Travel
de.flixbus.app,Travel/Local,Travel
kr.ac.kaist.kyotong,Travel/Local,Travel
kr.co.srail.app,Travel/Local,Travel
net.daum.android.map,Travel/Local,Travel
net.skyscanner.android.main,Travel/Local,Travel
com.pacoapp.paco,Tools,Tools
fi.polar.beat,Tools,Tools
