features1,features2,features3
bandGSR_resistance#80MIN#20MIN#CID|mean,bandUV_exposure#80MIN#20MIN#MAXLAGVAL|mean,ringer#80MIN#20MIN#SUP:RINGER_MODE_NORMAL|mean
accelerometer_X#80MIN#20MIN#MINLAG|mean,wifi_numConnections#80MIN#20MIN#MINLAG|std,bandCalory_burned#80MIN#20MIN#MIN|mean
battery_temperature#80MIN#20MIN#MAXLAG|std,activity_event#80MIN#20MIN#SUP:STILL|mean,bandHeartRate_BPM#80MIN#20MIN#CID|std
data_RX#80MIN#20MIN#SKW|mean,bandHeartRate_RRInterval#80MIN#20MIN#MINLAG|mean,screen#80MIN#20MIN#ETP|std
appUsage_appCategory#80MIN#20MIN#SUP:Media/Entertainment|std,bandPedometer_step#80MIN#20MIN#KUR|std,accelerometer_Y#80MIN#20MIN#LTI|mean
wifi_numConnections#80MIN#20MIN#MED|std,wifi_numConnections#80MIN#20MIN#MINLAG|mean,bandSkinTemperature_temperature#80MIN#20MIN#MINLAGVAL|mean
bandAmbientLight_brightness#80MIN#20MIN#BEP|mean,connection_status#80MIN#20MIN#ETP|mean,accelerometer_X#80MIN#20MIN#MAX|mean
bandUV_exposure#80MIN#20MIN#MAX|mean,accelerometer_Z#80MIN#20MIN#VAR|std,bandAmbientLight_brightness#80MIN#20MIN#AVG|std
data_TX#80MIN#20MIN#BEP|std,accelerometer_Y#80MIN#20MIN#MED|std,data_RX2TX#80MIN#20MIN#MINLAG|mean
appUsage_appCategory#80MIN#20MIN#SUP:Social/Communication|mean,bandAmbientLight_brightness#80MIN#20MIN#MIN|std,battery_status#80MIN#20MIN#SUP:FULL|mean
bandHeartRate_BPM#80MIN#20MIN#MIN|mean,bandGSR_resistance#80MIN#20MIN#MINLAG|std,ringer#80MIN#20MIN#SUP:RINGER_MODE_SILENT|mean
activity_event#80MIN#20MIN#SUP:IN_VEHICLE|std,bandAmbientLight_brightness#80MIN#20MIN#BEP|std,bandHeartRate_BPM#80MIN#20MIN#ASC|mean
bandUV_exposure#80MIN#20MIN#MINLAG|std,battery_level#80MIN#20MIN#MAXLAGVAL|std,bandSkinTemperature_temperature#80MIN#20MIN#MAXLAGVAL|mean
location_distance#80MIN#20MIN#BEP|mean,accelerometer_X#80MIN#20MIN#LTI|mean,bandCalory_burned#80MIN#20MIN#BEP|std
