antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,consequent_length,antecedant_length,lift_log_scale_abs
"{'bandDistance_pace#MAX:m', 'bandUV_exposure#MAX:m', 'appUsage_appCategory#SUP:Media/Entertainment:m', 'activity_event#SUP:STILL:m'}",{'bandDistance_pace#MINLAGVAL:m'},0.6111111111111112,0.6944444444444444,0.6111111111111112,1.0,1.44,0.18672839506172845,inf,1,4,0.36464311358790924
"{'bandDistance_pace#MINLAGVAL:m', 'battery_plugState#SUP:WIRELESS:m', 'connection_type#SUP:WIFI:m', 'battery_status#SUP:DISCHARGING:m'}",{'bandDistance_pace#MAX:m'},0.6388888888888888,0.6944444444444444,0.6388888888888888,1.0,1.44,0.19521604938271603,inf,1,4,0.36464311358790924
"{'battery_plugState#ETP:m', 'bandDistance_pace#MIN:m', 'bandDistance_pace#MAX:m', 'ringer#SUP:RINGER_MODE_VIBRATE:m'}",{'bandDistance_pace#MINLAGVAL:m'},0.6388888888888888,0.6944444444444444,0.6388888888888888,1.0,1.44,0.19521604938271603,inf,1,4,0.36464311358790924
"{'bandUV_exposure#MAXLAGVAL:m', 'bandDistance_pace#MIN:m', 'bandDistance_pace#MINLAGVAL:m', 'connection_type#SUP:MOBILE:m'}",{'bandDistance_pace#MAX:m'},0.6944444444444444,0.6944444444444444,0.6944444444444444,1.0,1.44,0.21219135802469136,inf,1,4,0.36464311358790924
"{'battery_plugState#ETP:m', 'bandUV_exposure#MAX:m', 'ringer#SUP:RINGER_MODE_VIBRATE:m', 'bandDistance_pace#MINLAGVAL:m'}",{'bandDistance_pace#MAX:m'},0.6388888888888888,0.6944444444444444,0.6388888888888888,1.0,1.44,0.19521604938271603,inf,1,4,0.36464311358790924
"{'bandUV_exposure#MAXLAGVAL:m', 'bandDistance_pace#MIN:m', 'bandDistance_pace#MAX:m', 'connection_type#SUP:MOBILE:m'}",{'bandDistance_pace#MINLAGVAL:m'},0.6944444444444444,0.6944444444444444,0.6944444444444444,1.0,1.44,0.21219135802469136,inf,1,4,0.36464311358790924
"{'battery_plugState#SUP:WIRELESS:m', 'bandDistance_pace#MAX:m', 'battery_status#SUP:DISCHARGING:m', 'connection_type#SUP:WIFI:m'}",{'bandDistance_pace#MINLAGVAL:m'},0.6388888888888888,0.6944444444444444,0.6388888888888888,1.0,1.44,0.19521604938271603,inf,1,4,0.36464311358790924
"{'battery_plugState#ETP:m', 'bandDistance_pace#MAX:m', 'bandUV_exposure#MAX:m', 'ringer#SUP:RINGER_MODE_VIBRATE:m'}",{'bandDistance_pace#MINLAGVAL:m'},0.6388888888888888,0.6944444444444444,0.6388888888888888,1.0,1.44,0.19521604938271603,inf,1,4,0.36464311358790924
"{'bandUV_exposure#MAXLAGVAL:m', 'bandDistance_pace#MINLAGVAL:m', 'bandCalory_burned#MIN:m', 'connection_type#SUP:MOBILE:m'}",{'bandDistance_pace#MAX:m'},0.6944444444444444,0.6944444444444444,0.6944444444444444,1.0,1.44,0.21219135802469136,inf,1,4,0.36464311358790924
"{'battery_plugState#ETP:m', 'bandDistance_pace#MAX:m', 'bandCalory_burned#MIN:m', 'ringer#SUP:RINGER_MODE_VIBRATE:m'}",{'bandDistance_pace#MINLAGVAL:m'},0.6388888888888888,0.6944444444444444,0.6388888888888888,1.0,1.44,0.19521604938271603,inf,1,4,0.36464311358790924
"{'bandUV_exposure#MAXLAGVAL:m', 'bandDistance_pace#MAX:m', 'bandCalory_burned#MIN:m', 'connection_type#SUP:MOBILE:m'}",{'bandDistance_pace#MINLAGVAL:m'},0.6944444444444444,0.6944444444444444,0.6944444444444444,1.0,1.44,0.21219135802469136,inf,1,4,0.36464311358790924
"{'bandPedometer_step#KUR:m', 'bandDistance_pace#MINLAGVAL:m', 'activity_event#SUP:IN_VEHICLE:m', 'location_distance#MINLAG:m'}",{'bandDistance_pace#MAX:m'},0.6388888888888888,0.6944444444444444,0.6388888888888888,1.0,1.44,0.19521604938271603,inf,1,4,0.36464311358790924
"{'bandPedometer_step#KUR:m', 'bandDistance_pace#MAX:m', 'activity_event#SUP:IN_VEHICLE:m', 'location_distance#MINLAG:m'}",{'bandDistance_pace#MINLAGVAL:m'},0.6388888888888888,0.6944444444444444,0.6388888888888888,1.0,1.44,0.19521604938271603,inf,1,4,0.36464311358790924
"{'bandDistance_pace#MIN:m', 'bandDistance_pace#MAX:m', 'bandSkinTemperature_temperature#MINLAG:m', 'unlock#SUP:UNLOCK:m'}",{'bandDistance_pace#MINLAGVAL:m'},0.6666666666666666,0.6944444444444444,0.6666666666666666,1.0,1.44,0.20370370370370372,inf,1,4,0.36464311358790924
"{'ringer#ETP:m', 'bandDistance_pace#MAX:m', 'appUsage_appCategory#SUP:Media/Entertainment:m', 'activity_event#SUP:STILL:m'}",{'bandDistance_pace#MINLAGVAL:m'},0.6111111111111112,0.6944444444444444,0.6111111111111112,1.0,1.44,0.18672839506172845,inf,1,4,0.36464311358790924
"{'bandDistance_pace#MIN:m', 'bandDistance_pace#MINLAGVAL:m', 'bandSkinTemperature_temperature#MINLAG:m', 'unlock#SUP:UNLOCK:m'}",{'bandDistance_pace#MAX:m'},0.6666666666666666,0.6944444444444444,0.6666666666666666,1.0,1.44,0.20370370370370372,inf,1,4,0.36464311358790924
"{'battery_plugState#ETP:m', 'bandDistance_pace#MIN:m', 'bandDistance_pace#MINLAGVAL:m', 'ringer#SUP:RINGER_MODE_VIBRATE:m'}",{'bandDistance_pace#MAX:m'},0.6388888888888888,0.6944444444444444,0.6388888888888888,1.0,1.44,0.19521604938271603,inf,1,4,0.36464311358790924
"{'battery_plugState#ETP:m', 'bandCalory_burned#MIN:m', 'ringer#SUP:RINGER_MODE_VIBRATE:m', 'bandDistance_pace#MINLAGVAL:m'}",{'bandDistance_pace#MAX:m'},0.6388888888888888,0.6944444444444444,0.6388888888888888,1.0,1.44,0.19521604938271603,inf,1,4,0.36464311358790924
"{'bandUV_exposure#MAXLAGVAL:m', 'battery_temperature#MAXLAG:m', 'bandDistance_pace#MINLAGVAL:m', 'connection_type#SUP:MOBILE:m'}",{'bandDistance_pace#MAX:m'},0.6944444444444444,0.6944444444444444,0.6944444444444444,1.0,1.44,0.21219135802469136,inf,1,4,0.36464311358790924
"{'bandPedometer_step#KUR:m', 'bandDistance_pace#MAX:m', 'battery_status#SUP:FULL:m', 'location_distance#MINLAG:m'}",{'bandDistance_pace#MINLAGVAL:m'},0.6388888888888888,0.6944444444444444,0.6388888888888888,1.0,1.44,0.19521604938271603,inf,1,4,0.36464311358790924
"{'battery_plugState#ETP:m', 'ringer#ETP:m', 'bandDistance_pace#MINLAGVAL:m', 'ringer#SUP:RINGER_MODE_VIBRATE:m'}",{'bandDistance_pace#MAX:m'},0.6388888888888888,0.6944444444444444,0.6388888888888888,1.0,1.44,0.19521604938271603,inf,1,4,0.36464311358790924
"{'bandUV_exposure#MAXLAGVAL:m', 'battery_temperature#MAXLAG:m', 'bandDistance_pace#MAX:m', 'connection_type#SUP:MOBILE:m'}",{'bandDistance_pace#MINLAGVAL:m'},0.6944444444444444,0.6944444444444444,0.6944444444444444,1.0,1.44,0.21219135802469136,inf,1,4,0.36464311358790924
"{'battery_plugState#ETP:m', 'bandUV_exposure#MAXLAGVAL:m', 'bandDistance_pace#MINLAGVAL:m', 'connection_type#SUP:MOBILE:m'}",{'bandDistance_pace#MAX:m'},0.6944444444444444,0.6944444444444444,0.6944444444444444,1.0,1.44,0.21219135802469136,inf,1,4,0.36464311358790924
"{'battery_plugState#ETP:m', 'bandDistance_pace#MAX:m', 'bandUV_exposure#MAXLAGVAL:m', 'connection_type#SUP:MOBILE:m'}",{'bandDistance_pace#MINLAGVAL:m'},0.6944444444444444,0.6944444444444444,0.6944444444444444,1.0,1.44,0.21219135802469136,inf,1,4,0.36464311358790924
"{'battery_plugState#ETP:m', 'ringer#ETP:m', 'bandDistance_pace#MAX:m', 'ringer#SUP:RINGER_MODE_VIBRATE:m'}",{'bandDistance_pace#MINLAGVAL:m'},0.6388888888888888,0.6944444444444444,0.6388888888888888,1.0,1.44,0.19521604938271603,inf,1,4,0.36464311358790924
"{'bandPedometer_step#KUR:m', 'bandDistance_pace#MINLAGVAL:m', 'battery_status#SUP:FULL:m', 'location_distance#MINLAG:m'}",{'bandDistance_pace#MAX:m'},0.6388888888888888,0.6944444444444444,0.6388888888888888,1.0,1.44,0.19521604938271603,inf,1,4,0.36464311358790924
"{'battery_plugState#ETP:m', 'bandDistance_pace#MINLAGVAL:m', 'ringer#SUP:RINGER_MODE_VIBRATE:m', 'activity_event#SUP:WALKING:m'}",{'bandDistance_pace#MAX:m'},0.6388888888888888,0.6944444444444444,0.6388888888888888,1.0,1.44,0.19521604938271603,inf,1,4,0.36464311358790924
"{'bandUV_exposure#MAXLAGVAL:m', 'bandDistance_pace#MAX:m', 'bandUV_exposure#MAX:m', 'connection_type#SUP:MOBILE:m'}",{'bandDistance_pace#MINLAGVAL:m'},0.6944444444444444,0.6944444444444444,0.6944444444444444,1.0,1.44,0.21219135802469136,inf,1,4,0.36464311358790924
"{'bandPedometer_step#KUR:m', 'bandDistance_pace#MINLAGVAL:m', 'location_distance#MINLAG:m', 'connection_type#SUP:MOBILE:m'}",{'bandDistance_pace#MAX:m'},0.6388888888888888,0.6944444444444444,0.6388888888888888,1.0,1.44,0.19521604938271603,inf,1,4,0.36464311358790924
